timestamp_ms,slot,frequency_mhz,rssi_dbm,snr,payload_hex,payload_text,length
1295662,129,921.600,-27,8.75,69763d31666262623935633135346166643161303234616438376163353266356661322c6d73673d336664346563363830376538316535316132666463643239346432306439336263343031356564313838376435346639646363313963383239383934626366332c636f756e7465723d3536362c743d313239353431362c6b696e643d64617461,iv=1fbbb95c154afd1a024ad87ac52f5fa2;msg=3fd4ec6807e81e51a2fdcd294d20d93bc4015ed1887d54f9dcc19c829894bcf3;counter=566;t=1295416;kind=data,136
1297918,129,921.600,-27,9.5,69763d66373733393262316533313637373838393463623630303863363332343732342c6d73673d386634643733316562363030666132316434353730616336306232633363616634326162326661663962356136613563626339653439633562656633333462642c636f756e7465723d3536372c743d313239373637322c6b696e643d64617461,iv=f77392b1e316778894cb6008c6324724;msg=8f4d731eb600fa21d4570ac60b2c3caf42ab2faf9b5a6a5cbc9e49c5bef334bd;counter=567;t=1297672;kind=data,136
1300177,129,921.600,-27,6.25,69763d33393536373935636565626335383164383462666631373237623539613261652c6d73673d363564376639633333666561383465373963313965613366646134336139323936373134363931323961626132643430623830386231623333663138336438652c636f756e7465723d3536382c743d313239393933312c6b696e643d64617461,iv=3956795ceebc581d84bff1727b59a2ae;msg=65d7f9c33fea84e79c19ea3fda43a929671469129aba2d40b808b1b33f183d8e;counter=568;t=1299931;kind=data,136
1302433,130,921.400,-27,9.75,69763d36303135313762653030373363626630633565306233656362343336303565622c6d73673d333331353930313865333532633638303535643065666535613366643764323865356334373266386636616637616338653735643465656666346233353435312c636f756e7465723d3536392c743d313330323138372c6b696e643d64617461,iv=601517be0073cbf0c5e0b3ecb43605eb;msg=33159018e352c68055d0efe5a3fd7d28e5c472f8f6af7ac8e75d4eeff4b35451;counter=569;t=1302187;kind=data,136
1304689,130,921.400,-26,9.5,69763d30363836356166303265646437303138663333313561333365653535333637382c6d73673d323537326339613833323532373731303139333030323132383864333762323161313664613238353233653337616333346662666333313733306639666364662c636f756e7465723d3537302c743d313330343434332c6b696e643d64617461,iv=06865af02edd7018f3315a33ee553678;msg=2572c9a8325277101930021288d37b21a16da28523e37ac34fbfc31730f9fcdf;counter=570;t=1304443;kind=data,136
1306948,130,921.400,-27,9.75,69763d36616331626264623065633362333935383861636261613431386163643932362c6d73673d303937633730666435306536353836393161366535666139336161623834376563613337343162333630316135303464633434306566626133393834333035612c636f756e7465723d3537312c743d313330363730322c6b696e643d64617461,iv=6ac1bbdb0ec3b39588acbaa418acd926;msg=097c70fd50e658691a6e5fa93aab847eca3741b3601a504dc440efba3984305a;counter=571;t=1306702;kind=data,136
1309204,130,921.400,-27,9.0,69763d32656232333864393034373266356436646261613763366466363765386538652c6d73673d636564333735376637303835333431366233383134316539353866363635303430343730653962386663306565313038316663363439333961313465353830662c636f756e7465723d3537322c743d313330383935382c6b696e643d64617461,iv=2eb238d90472f5d6dbaa7c6df67e8e8e;msg=ced3757f70853416b38141e958f665040470e9b8fc0ee1081fc64939a14e580f;counter=572;t=1308958;kind=data,136
1311463,131,923.400,-27,1.75,69763d33303561323536626266376337666435303630323766333361386166643765352c6d73673d363933316537383236613664363237386561396537343739626561386266613665346461663631326133363732343434353966343839366133303366376566392c636f756e7465723d3537332c743d313331313231372c6b696e643d64617461,iv=305a256bbf7c7fd506027f33a8afd7e5;msg=6931e7826a6d6278ea9e7479bea8bfa6e4daf612a367244459f4896a303f7ef9;counter=573;t=1311217;kind=data,136
1313720,131,923.400,-28,1.75,69763d62636665646361323435663862363465363434663238363339306333383963392c6d73673d623434323362313335636134333563316432643866343063336265343831616666656439316237343063353361663135373461633764643762343466616331632c636f756e7465723d3537342c743d313331333437332c6b696e643d64617461,iv=bcfedca245f8b64e644f286390c389c9;msg=b4423b135ca435c1d2d8f40c3be481affed91b740c53af1574ac7dd7b44fac1c;counter=574;t=1313473;kind=data,136
1315976,131,923.400,-27,-1.25,69763d31633765363633663637353733343736643237663861613930616439613634362c6d73673d383332393333313735633832313837643832386430353464626662316663636333396636366233646636343933636166656261323734373930356561396532362c636f756e7465723d3537352c743d313331353733302c6b696e643d64617461,iv=1c7e663f67573476d27f8aa90ad9a646;msg=832933175c82187d828d054dbfb1fccc39f66b3df6493cafeba2747905ea9e26;counter=575;t=1315730;kind=data,136
1316872,131,923.400,-97,1.0,40ec0ff8018000000163c7062c16508619,NON_UTF8,17
1318235,131,923.400,-27,2.25,69763d32616132323136313064643830663066373063396333303464373537643833322c6d73673d653863633034656161323263653066333634333630363866323736346636616636363331333861333038393166626339643331376334633365366530323439352c636f756e7465723d3537362c743d313331373938392c6b696e643d64617461,iv=2aa221610dd80f0f70c9c304d757d832;msg=e8cc04eaa22ce0f36436068f2764f6af663138a30891fbc9d317c4c3e6e02495;counter=576;t=1317989;kind=data,136
1320491,132,923.200,-28,3.25,69763d66613430666435663737613232393661653930626461383335353336343565392c6d73673d656236313566363533396164633965633665373938653230613138393864366539346335663930326535663663326637646437316263303633623735313631382c636f756e7465723d3537372c743d313332303234352c6b696e643d64617461,iv=fa40fd5f77a2296ae90bda83553645e9;msg=eb615f6539adc9ec6e798e20a1898d6e94c5f902e5f6c2f7dd71bc063b751618;counter=577;t=1320245;kind=data,136
1322750,132,923.200,-26,1.75,69763d66356262343837363232376366353033396131623865393632656132613461612c6d73673d373634663334303731343939396638393634346231653833306463303162373536383835313036613331663839326466303163373332623732643037613933392c636f756e7465723d3537382c743d313332323530342c6b696e643d64617461,iv=f5bb4876227cf5039a1b8e962ea2a4aa;msg=764f340714999f89644b1e830dc01b756885106a31f892df01c732b72d07a939;counter=578;t=1322504;kind=data,136
1325007,132,923.200,-28,3.5,69763d61363065633666393661306634623635663263303964343434656531346230342c6d73673d396564316362383632373362353564616536663230333538323835303337363166613931356432643833343739363332383339366361336663613033346331662c636f756e7465723d3537392c743d313332343736302c6b696e643d64617461,iv=a60ec6f96a0f4b65f2c09d444ee14b04;msg=9ed1cb86273b55dae6f2035828503761fa915d2d834796328396ca3fca034c1f;counter=579;t=1324760;kind=data,136
1327266,132,923.200,-27,3.0,69763d38396636383935663439666236333164393734653766346361373935303663612c6d73673d656361656330336461376363383339373931316332303637376331623664373736383638306162303237663163333162373532623463363632383433393663652c636f756e7465723d3538302c743d313332373031392c6b696e643d64617461,iv=89f6895f49fb631d974e7f4ca79506ca;msg=ecaec03da7cc8397911c20677c1b6d7768680ab027f1c31b752b4c66284396ce;counter=580;t=1327019;kind=data,136
