t_ms,rssi_dbm,snr_db,epoch_s
139063,-15,9.75,822931687
139203,-15,9.5,822931687
139343,-26,9.0,822931687
139483,-15,12.0,822931687
139623,-15,9.25,822931688
139763,-16,9.5,822931688
139903,-15,9.75,822931688
140043,-15,10.0,822931688
140183,-15,9.5,822931688
140325,-16,10.0,822931688
140467,-15,9.75,822931688
140606,-15,9.75,822931689
140745,-16,9.75,822931689
140887,-15,9.5,822931689
141027,-16,9.5,822931689
141168,-16,9.25,822931689
141308,-16,9.5,822931689
141448,-16,9.5,822931689
141588,-16,9.5,822931690
141728,-16,9.75,822931690
141868,-15,9.5,822931690
142008,-15,10.0,822931690
142148,-16,9.0,822931690
142289,-16,9.5,822931690
142429,-16,9.25,822931690
142569,-16,9.25,822931691
